"id","icon","channel","origin","audience","distinct","recognized","confusable","encounter","era","made_by","story_lead","symbol_status","notes","added"
"ic011","Hula","kinetic","native_hawaiian","both","pass","both","Tahitian ‘ote‘a (fast hips, drums); hula is slower and the hands carry meaning","Merrie Monarch (Hilo, April); Kuhio Beach hula mound; any halau; luau shows for the outsider version","banned 1830; revived at Kalakaua's coronation 1883; Merrie Monarch competition 1971","Native Hawaiians; Kalakaua for the nation; Hollywood for outsiders; Merrie Monarch for residents","The one icon where outsiders and residents hold opposite versions of the same thing","none","Kinetic channel. Outsider set = hula girl; resident set = halau / kumu / Merrie Monarch. First icon where the two sets diverge on the SAME referent.","2026-09-13"
"ic012","Diamond Head","visual","natural","both","pass","both","none; a generic volcanic headland at most","the profile from Waikiki beach; the summit trail; every establishing shot","1920s-30s (Matson postcards and posters); television from 1968","Nature; named by British sailors 1825 (calcite mistaken for diamonds); made an icon by Matson and the tourist bureau","The profile with no confusable, named for a mistake: Le‘ahi, the brow of the tuna","none","The natural-origin anchor. First candidate for the symbol family: the profile is a single line.","2026-09-13"
"ic013","Spam musubi","gustatory","local","resident","pass","resident","onigiri; the Spam slab settles it","any 7-Eleven, Zippy's, L&L; Waikiki Spam Jam (April)","1980s (Barbara Funamura, Kauai, usually credited); Spam itself WWII","Japanese plantation-immigrant form + military filling; assembled for local lunch counters","A Japanese form around a military ration: the plantation and the war on one plate","none","Hybrid origin: plantation_immigrant (form) + military (Spam). Audience tipping toward both. Origin recoded plantation_immigrant -> local 2026-09-13 (provisional).","2026-09-13"
"ic014","Poke","gustatory","native_hawaiian","both","pass","both","the 'poke bowl' (California fast-casual, 2012+) which globally resolves to 'healthy lunch'","Foodland poke counter; Tamura's; Ono Seafood","ancient (‘ahi poke); shoyu-sesame version 1970s; bowl format 2012+","Native Hawaiians; local Japanese influence 1970s; California rebranded the bowl for the mainland","Hawaii owns the word and lost the format","none","Poke passes; the poke bowl is borderline (the surfboard pattern in food).","2026-09-13"
"ic015","Loco moco","gustatory","local","resident","pass","few","hamburger steak with gravy; resolves to nothing else once seen","Cafe 100 (Hilo); Rainbow Drive-In; Zippy's","1949 (Lincoln Grill, Hilo)","Lincoln Grill (Inouye family) for Hilo teenagers","Maximally distinctive, barely recognized: the icon the test could not see","none","Broke the caption test: high distinctness, low outsider recognition. Prompted the split into distinct + recognized. Origin recoded plantation_immigrant -> local 2026-09-13 (provisional).","2026-09-13"
"ic016","Shaka","kinetic","local","both","borderline","both","global surf 'hang loose'; Brazil's version; here it means thanks / hello / all good, wider than surfing","every driver who lets you merge; the official state gesture since 2024","1940s (Hamana Kalili, Laie); 1960s (Lippy Espinda TV ads); 1970s (Fasi campaigns); state gesture 2024","Hamana Kalili's mill injury; a used-car dealer and a mayor for local TV; surfers for the world","Three missing fingers, a used-car dealer, and a mayor: how a gesture became a state's signature","none","Kinetic. Borderline only because surf culture globalized it.","2026-09-13"
"ic017","Poi","gustatory","native_hawaiian","both","pass","both","none; the confusable is the outsider's joke ('wallpaper paste')","any luau (outsider version); Waiahole Poi Factory, Hanalei (the real thing)","ancient; luau-circuit version 1930s onward","Native Hawaiians (kalo as Haloa); the luau circuit for visitors","The outsider's joke is the resident's elder sibling","none","Sharpest outsider/resident divergence on one referent so far (pairs with hula).","2026-09-13"
"ic018","Plate lunch","gustatory","local","resident","pass","resident","none; two scoops rice + mac salad resolves to nothing else","Rainbow Drive-In, Zippy's, any lunch wagon; L&L on the mainland","1880s plantation kaukau tin; lunch wagons 1930s; L&L export 1999","Plantation workers of every ethnicity sharing one lunch break; drive-ins for residents","The islands' social history on one plate: every ethnicity's dish, one lunch break","none","'local' origin (provisional). Symbol candidate: the three-compartment plate.","2026-09-13"
"ic019","Arizona Memorial","visual","military","both","pass","both","none; the white span over the hull","Pearl Harbor National Memorial; the Navy boat from the visitor center","1962 (dedicated); attack 1941","US Navy and Congress; Alfred Preis (Austrian refugee, interned on Sand Island 1941) designed it; Elvis's 1961 concert helped fund it","The man interned as an enemy alien after the attack designed its memorial","none","First military row. Symbol candidate: the span in profile.","2026-09-13"
"ic020","Plumeria","visual","territorial_tourist","both","borderline","both","frangipani across the tropics (Bali, Thailand, India); passes only in composition: the lei, behind the ear","any lei stand; the scent on a trade wind; behind the ear","1920s-30s lei trade; introduced 1860 (Hillebrand)","Hillebrand introduced it; cemeteries kept it; lei sellers and the tourist bureau made it the welcome flower","The graveyard flower became the welcome flower","none","Strongest key is the SCENT: channel axis lacks olfactory (added provisional). Coded visual because a symbol can carry that.","2026-09-13"
"ic021","Hibiscus","visual","territorial_tourist","both","borderline","both","pan-tropical; Malaysia's national flower is the same red hibiscus","aloha shirts; hedges everywhere; ma‘o hau hele (the real state flower) almost nowhere","1923 territorial flower; Honolulu hybrid craze 1900s-20s; state flower ma‘o hau hele 1988","The territorial legislature (1923) and the aloha-shirt printers; the plant is H. rosa-sinensis and local hybrids","The state flower is yellow and endemic; the icon is red and Chinese","none","Origin arguable natural (7 endemic Hibiscus) vs territorial_tourist (who made the red one an icon). Coded by icon-maker.","2026-09-13"
"ic022","Steel guitar","auditory","native_hawaiian","both","borderline","both","Nashville pedal steel; country music took the sound","hotel-lobby trios; Hawaiian-music radio; the Kekuku marker in Laie","c.1889 (Joseph Kekuku, Laie); mainland craze 1915-30s; Nashville from the 1940s","Joseph Kekuku, a Kamehameha Schools boy, for himself; touring Hawaiian bands for the mainland; country music for the world","The sound of Nashville came from Laie","none","Surfboard pattern in sound: invented here, renamed elsewhere.","2026-09-13"
"ic023","Slack key guitar (ki ho'alu)","auditory","native_hawaiian","resident","pass","resident","none once heard; often mistaken by outsiders for 'just guitar'","Gabby Pahinui recordings; slack-key festivals; backyard parties","1830s paniolo guitars; family tunings kept secret until Gabby Pahinui's 1946 recordings","Hawaiian families retuning Mexican vaqueros' guitars, for themselves; Gabby Pahinui and the 1970s renaissance for everyone else","A Mexican guitar, Hawaiian tunings kept secret for a century","none","High distinct, resident recognition: the loco moco of sound.","2026-09-13"
"ic024","Aloha 'Oe","auditory","missionary_monarchy","both","pass","both","none; the melody resolves to Hawaii instantly","every departure, luau finale, and film farewell since the 1930s","1878 (composed by Lili'uokalani); recast by the 1893 overthrow","Lili'uokalani, as a love song, for the court; the overthrow and Hollywood made it the farewell of a nation","Written as a lover's goodbye fifteen years before the overthrow, then it became the nation's","none","Auditory icon with a missionary_monarchy origin: the queen as composer.","2026-09-13"
"ic025","Aloha (the word)","lexical","native_hawaiian","both","pass","both","none; the most borrowed Hawaiian word","every greeting, sign, and airport; the Aloha Spirit written into state law (HRS 5-7.5, 1986)","ancient; commercial use from the 1900s (Aloha Tower 1926, the shirt 1930s, the airline 1946)","Native Hawaiians as a concept; the tourist industry as a brand; the legislature as a statute","One word for hello, goodbye and love, then a brand, then a law","none","Anchor of the borrowed-word density metric.","2026-09-13"
"ic026","Wiki","lexical","external","both","fail","both","in English the word now resolves to Wikipedia, not to Hawaii","the Wiki Wiki Shuttle at Honolulu airport, where Ward Cunningham saw it","1995 (WikiWikiWeb); Wikipedia 2001; the shuttle 1970s-2000s","Ward Cunningham named his software after the airport shuttle bus, for programmers; Wikipedia for the world","The most-used Hawaiian word on earth no longer resolves to Hawaii at all","none","Recorded as a FAIL on purpose: a borrowed word that lost its origin entirely. Counts for the density metric, not for the icon set.","2026-09-13"
"ic027","Kilauea / flowing lava","visual","natural","both","pass","both","none; the only place visitors are routinely invited to watch land being made","Hawaii Volcanoes National Park; Halema'uma'u at night; the 2018 Leilani eruption in memory","Volcano House 1846; national park 1916; the 1983-2018 Pu'u 'O'o eruption made it continuous television","Pele in tradition; Volcano House and the park for visitors; Mark Twain (1866) for readers","The tourist attraction that is also a goddess and also the newest land on earth","none","Symbol candidate: the fountain / the red line on black.","2026-09-13"
"ic028","Rainbow","visual","natural","both","borderline","both","rainbows everywhere; passes only because Hawaii adopted it as identity","the license plate; UH Rainbow Warriors; Manoa on any afternoon","license plate 1991; the UH nickname 1923; 'Rainbow State' nickname","Nature (trade-wind showers over Manoa); the state and the university for residents","The place that put a rainbow on its license plate","none","Borderline on distinct; the ADOPTION is the icon, not the phenomenon.","2026-09-13"
"ic029","Kamehameha statue","visual","missionary_monarchy","both","pass","both","none; the outstretched arm and feathered cloak","Ali'iolani Hale, Honolulu; the original at Kapa'au; Lei Draping on June 11","1883 (unveiled at Kalakaua's coronation); the original lost off the Falklands and recovered, at Kapa'au since 1883","Kalakaua and the legislature for the nation's centennial of Cook; the Hawaii Five-O credits for the world","The first casting sank off the Falklands; the second stands in Honolulu; the salvaged first stands in his birthplace","none","Symbol candidate: the arm. The most-photographed statue in the state.","2026-09-13"
"ic030","'Iolani Palace","visual","missionary_monarchy","both","pass","both","none; the only royal palace on US soil","downtown Honolulu; the room where the queen was imprisoned in 1895","1882 (completed); electrified 1886, before the White House","Kalakaua, for the kingdom's standing among nations; the overthrow made it a symbol of what was taken","Electric light before the White House, and a queen imprisoned upstairs","none","Pairs with the flag (ic031) and Aloha 'Oe (ic024) as the monarchy cluster.","2026-09-13"
"ic031","Hawaiian flag (Ka Hae Hawai'i)","visual","missionary_monarchy","both","pass","both","none; the only US state flag carrying the Union Jack","every public building; flown upside down as a sovereignty statement","1816 (first version, Kamehameha I); 1845 (eight stripes); state flag 1959","Kamehameha I, to stand between Britain and America; sovereignty movement recast it after 1993","A kingdom's flag that became a state's, and is flown upside down by those who want the kingdom back","none","The one icon whose meaning is actively contested today.","2026-09-13"
"ic032","Slippers (slippahs)","visual","local","resident","borderline","resident","flip-flops worldwide; Japanese zori; the PILE AT THE DOOR is what resolves to Hawaii","every doorstep; every school; the pile at a party","1930s-50s (Japanese rubber zori via plantation families; local brand Locals from 1983)","Japanese plantation families brought the zori; local culture made removing them at the door the rule","The icon is not the shoe; it is the pile by the door","none","Coded local: the practice, not the object, is the icon.","2026-09-13"
"ic033","Shave ice","gustatory","plantation_immigrant","both","pass","both","the snow cone; the difference (fine shave, syrup absorbed) is the whole point","Matsumoto's (Hale'iwa, 1951); Waiola; Ululani's","plantation era (Japanese kakigori); Matsumoto's 1951; national fame via the Obama family 2000s","Japanese plantation workers for themselves; Hale'iwa surf traffic and a president for everyone else","A snow cone is not shave ice, and every resident will tell you why","none","Symbol candidate: the cone with three colours.","2026-09-13"
"ic034","Outrigger canoe (wa'a)","kinetic","native_hawaiian","both","borderline","both","Polynesia generally (Tahitian va'a); Hawaii's claim is Hokule'a and Waikiki canoe surfing","Waikiki beachboy canoe rides; the Moloka'i Hoe; Hokule'a at Sand Island","ancient; Waikiki canoe surfing 1900s; Hokule'a 1976 made it a renaissance","Native Hawaiians; the Outrigger Canoe Club (1908) for visitors; the Polynesian Voyaging Society for the renaissance","A tourist ride at Waikiki and, in 1976, the vessel that proved the ancestors navigated on purpose","none","Hokule'a may deserve its own row.","2026-09-13"
